MP:0013118	swellings
MP:0010678	abnormal skin adnexa morphology
HP:0006705	Abnormal atrioventricular valve morphology
HP:0001654	Abnormal heart valve morphology
MP:0004345	abnormal acromion morphology
MP:0000149	abnormal scapula morphology
HP:0004337	Abnormality of amino acid metabolism
HP:0032245	Abnormal metabolism
HP:4000012	Necrotizing ileitis
HP:0032564	Ileitis
MP:0002991	abnormal sebaceous gland physiology
MP:0010680	abnormal skin adnexa physiology
HP:0006572	Subacute progressive viral hepatitis
HP:0006562	Viral hepatitis
HP:0032822	Neonatal electro-clinical autonomic seizure
HP:0032812	Neonatal electro-clinical non-motor seizure
HP:0003740	Myotonia with warm-up phenomenon
HP:0002486	Myotonia
HP:0009672	Small epiphysis of the proximal phalanx of the thumb
HP:0010265	Small epiphyses of the middle phalanges of the hand
HP:0002086	Abnormality of the respiratory system
HP:0000118	human phenotypic abnormality
HP:0033551	Non-necrotizing pulmonary granulomatosis
HP:0030250	Pulmonary granulomatosis
HP:0030885	Recurrent parasitic infections
HP:0002719	Recurrent infections
HP:0002212	Curly hair
HP:0010719	Abnormality of hair texture
MP:0008215	decreased immature B cell number
MP:0005017	decreased B cell number
HP:0010260	Enlarged epiphyses of the middle phalanges of the hand
HP:0010231	Enlarged epiphyses of the phalanges of the hand
MP:0002442	abnormal leukocyte physiology
MP:0012382	abnormal blood cell physiology
HP:0032006	Lip tremor
HP:0030188	Tremor by anatomical site
MP:0003592	urethra stricture
MP:0000537	abnormal urethra morphology
MP:0020201	abnormal granulocyte number
MP:0000217	abnormal leukocyte cell number
HP:0007365	Aplasia/Hypoplasia involving the corticospinal tracts
HP:0002492	Morphological abnormality of the corticospinal tract
MP:0005275	abnormal skin tensile strength
MP:0005501	abnormal skin physiology
MP:0002003	miotic pupils
MP:0001317	abnormal pupil morphology
MP:0010110	abnormal renal phosphate reabsorption
MP:0001765	abnormal ion homeostasis
HP:0004246	Delayed ossification of the scaphoid
HP:0045003	Abnormal ossification of the scaphoid
HP:0010341	Abnormality of the epiphyses of the 5th toe
HP:0010160	Abnormality of the epiphyses of the toes
MP:0030880	abnormal infrapatellar fat pad morphology
MP:0005334	abnormal fat pad morphology
HP:0006703	Aplasia/Hypoplasia of the lungs
HP:4000059	Abnormal lung development
MP:0008373	short malleus
MP:0008372	small malleus
MP:0004725	decreased platelet serotonin level
MP:0004723	abnormal platelet serotonin level
HP:0500095	Food-induced anaphylaxis
HP:0100845	Anaphylactic shock
HP:0003041	Humeroradial synostosis
HP:0100744	Abnormality of the humeroradial joint
MP:0005460	abnormal leukopoiesis
MP:0020981	abnormal immune system development
HP:0001043	Prominent scalp veins
HP:0001965	Abnormal scalp morphology
HP:0011212	EEG with photoparoxysmal response grade II
